Username,Rank,Played,Victories,WinPercentage,Deaths,Blocks Destroyed,Powerups Collected,Vaults Used,BlocksPerGame,PowerupsPerGame,VaultsPerGame
HarperOliver025,82,101,60,0.59,38,"59,259",287,78,586.7227723,2.841584158,0.7722772277
TiedNight9704,83,156,60,0.38,81,"117,402",376,238,752.5769231,2.41025641,1.525641026
kurosu2009919,84,156,60,0.38,96,"146,173",612,358,937.0064103,3.923076923,2.294871795
LesPossum,85,203,59,0.29,141,"149,794",350,26,737.9014778,1.724137931,0.1280788177
Scoopy2006,86,97,59,0.61,37,"93,184",301,164,960.6597938,3.103092784,1.690721649
Lukas022012,87,128,59,0.46,66,"92,606",334,207,723.484375,2.609375,1.6171875
Wchtg,88,214,59,0.28,145,"170,421",451,599,796.3598131,2.107476636,2.799065421
MisterGreenEggs,89,113,58,0.51,54,"61,457",265,215,543.8672566,2.345132743,1.902654867
AfloatHail80670,90,127,57,0.45,69,"82,031",415,112,645.9133858,3.267716535,0.8818897638
SpentYapper4919,91,117,57,0.49,59,"93,698",406,152,800.8376068,3.47008547,1.299145299
buqz,92,254,57,0.22,195,"143,913",412,185,566.5866142,1.622047244,0.7283464567
S1rHuman,93,123,57,0.46,66,"96,091",224,116,781.2276423,1.821138211,0.9430894309
ChikenJowkey,94,201,57,0.28,130,"118,809",418,109,591.0895522,2.07960199,0.5422885572
Noa1375,95,117,56,0.48,60,"92,084",333,93,787.042735,2.846153846,0.7948717949
termzy zuigi,96,83,55,0.66,28,"81,754",286,107,984.9879518,3.445783133,1.289156627
ElSuperLucky,97,90,55,0.61,21,"83,449",262,82,927.2111111,2.911111111,0.9111111111
nikkyson1324,98,298,55,0.18,237,"117,217",724,446,393.3456376,2.429530201,1.496644295
AirPlayerX8947,99,131,54,0.41,77,"87,607",253,285,668.7557252,1.93129771,2.175572519
SeaRug993250562,100,171,54,0.32,115,"116,356",472,266,680.4444444,2.760233918,1.555555556
