Username,Rank,Played,Victories,WinPercentage,Deaths,Blocks Destroyed,Powerups Collected,Vaults Used,BlocksPerGame,PowerupsPerGame,VaultsPerGame
FourSiren120741,47,198,92,0.46,106,"199,808",573,58,1009.131313,2.893939394,0.2929292929
SurfyAura422994,48,214,92,0.43,113,"150,546",546,353,703.4859813,2.551401869,1.64953271
Nixo990,49,143,91,0.64,50,"140,937",507,195,985.5734266,3.545454545,1.363636364
NikanRektz,50,160,91,0.57,47,"143,031",662,229,893.94375,4.1375,1.43125
MCMCcm06,51,155,91,0.59,63,"105,504",305,204,680.6709677,1.967741935,1.316129032
ImportedLake177,52,105,90,0.86,15,"118,978",585,62,1133.12381,5.571428571,0.5904761905
Sombrero45,53,154,90,0.58,61,"127,287",633,233,826.538961,4.11038961,1.512987013
TowtTowd8,54,111,89,0.80,19,"94,221",499,205,848.8378378,4.495495495,1.846846847
Hikaru bp,55,130,89,0.68,39,"117,917",364,165,907.0538462,2.8,1.269230769
BopoleGaming23,56,208,89,0.43,111,"180,256",546,189,866.6153846,2.625,0.9086538462
Rodawg4978,57,119,88,0.74,28,"96,894",390,131,814.2352941,3.277310924,1.100840336
Ivytwo,58,114,88,0.77,25,"78,171",438,127,685.7105263,3.842105263,1.114035088
speedingLeo1,59,143,87,0.61,52,"113,245",390,194,791.9230769,2.727272727,1.356643357
CivilSatyr51424,60,177,84,0.47,77,"152,085",125,43,859.2372881,0.7062146893,0.2429378531
meyanjapan,61,259,83,0.32,174,"214,035",641,494,826.3899614,2.474903475,1.907335907
shane9064,62,241,83,0.34,153,"166,121",528,397,689.2987552,2.190871369,1.647302905
Unkown6E5o20,63,190,83,0.44,98,"170,417",617,423,896.9315789,3.247368421,2.226315789
someone31415926,64,116,82,0.71,33,"124,865",442,115,1076.422414,3.810344828,0.9913793103
OwenThCool,65,220,81,0.37,113,"131,285",560,427,596.75,2.545454545,1.940909091
SluggedWings329,66,372,81,0.22,288,"321,195",750,281,863.4274194,2.016129032,0.7553763441
tanukiimo,67,131,79,0.60,50,"116,848",381,202,891.9694656,2.908396947,1.541984733
yushiyumi11,68,148,78,0.53,69,"134,002",490,105,905.4189189,3.310810811,0.7094594595
vQu1ts,69,88,77,0.88,11,"78,079",306,142,887.2613636,3.477272727,1.613636364
DarthAvion20,70,256,77,0.30,170,"155,693",371,28,608.1757813,1.44921875,0.109375
Vitalij211954,71,205,76,0.37,126,"165,304",739,350,806.3609756,3.604878049,1.707317073
Robbeengg,72,143,76,0.53,62,"100,742",424,312,704.4895105,2.965034965,2.181818182
GRAV1TYCHA1N,73,168,76,0.45,85,"125,054",490,357,744.3690476,2.916666667,2.125
SwoomMC,74,166,76,0.46,84,"124,679",332,267,751.0783133,2,1.608433735
Emalectro,75,144,76,0.53,65,"87,266",505,251,606.0138889,3.506944444,1.743055556
Zinedinjackson,76,163,75,0.46,88,"130,699",409,163,801.8343558,2.509202454,1
TornSoap9923074,77,125,75,0.60,49,"43,870",224,167,350.96,1.792,1.336
NBATheo8168,78,338,75,0.22,261,"212,518",906,778,628.7514793,2.680473373,2.301775148
zR 4 1 D E r,79,113,74,0.65,33,"94,866",440,191,839.5221239,3.89380531,1.690265487
Nightmare8431,80,87,74,0.85,13,"80,303",366,108,923.0229885,4.206896552,1.24137931
OTX Reqari,81,84,74,0.88,8,"83,404",359,61,992.9047619,4.273809524,0.7261904762
DarkMage7429,82,169,72,0.43,84,"107,047",464,281,633.4142012,2.74556213,1.662721893
PizzaSJBoy,83,258,71,0.28,176,"170,551",405,333,661.0503876,1.569767442,1.290697674
RPGking8075,84,159,70,0.44,84,"91,716",518,359,576.8301887,3.257861635,2.257861635
Mr Blue Sky4868,85,"1,227",69,0.06,"1,135","527,729","1,250",24,430.0969845,1.018744906,0.0195599022
CallMeKINO ITA,86,79,69,0.87,9,"88,128",396,69,1115.544304,5.012658228,0.8734177215
Unknown12345368,87,117,68,0.58,48,"109,578",433,115,936.5641026,3.700854701,0.9829059829
StrwbrrySmore,88,299,67,0.22,228,"182,774",539,487,611.2842809,1.802675585,1.628762542
ITS xXArifxX,89,235,67,0.29,161,"159,480",674,310,678.6382979,2.868085106,1.319148936
Eggplant4698,90,147,66,0.45,74,"103,866",390,345,706.5714286,2.653061224,2.346938776
HamsterMou,91,183,66,0.36,108,"152,875",515,418,835.3825137,2.81420765,2.284153005
Player17491420,92,247,65,0.26,173,"192,247",760,542,778.3279352,3.076923077,2.194331984
Entity70456450,93,224,64,0.29,157,"151,311",447,154,675.4955357,1.995535714,0.6875
KassandraShch13,94,145,64,0.44,64,"69,955",258,156,482.4482759,1.779310345,1.075862069
Spiropapa18,95,202,64,0.32,133,"130,871",682,362,647.8762376,3.376237624,1.792079208
Potatoes5816,96,163,63,0.39,98,"114,683",335,320,703.5766871,2.055214724,1.963190184
RoM4IkGaMinG,97,116,62,0.53,51,"82,269",336,315,709.2155172,2.896551724,2.715517241
OKAYTHAKTYFGE,98,163,61,0.37,94,"115,432",580,397,708.1717791,3.558282209,2.435582822
ChampionLeos,99,111,61,0.55,30,"66,316",367,191,597.4414414,3.306306306,1.720720721
Egg QwQ8007,100,217,61,0.28,133,"161,425",885,517,743.8940092,4.078341014,2.382488479
Tahriq16YT,1,"1,722","1,616",0.94,96,"1,175,664","7,604","2,989",682.7317073,4.415795587,1.735772358
S04ky,2,"1,669","1,616",0.97,51,"1,204,063","7,772","1,268",721.4278011,4.656680647,0.7597363691
Lee1387,3,518,510,0.98,7,"393,779","2,284",192,760.1911197,4.409266409,0.3706563707
willxoxo uwu,4,340,290,0.85,46,"256,684","1,411",268,754.9529412,4.15,0.7882352941
qDzrk,5,285,250,0.88,31,"223,380","1,243",264,783.7894737,4.361403509,0.9263157895
ShoneStone4257,6,248,245,0.99,3,"172,803",889,153,696.7862903,3.584677419,0.6169354839
Yuzuriha851310,7,294,232,0.79,57,"236,969","1,430",516,806.0170068,4.863945578,1.755102041
Axolot13431,8,714,228,0.32,466,"586,521","1,496",96,821.4579832,2.095238095,0.1344537815
GibborHosea,9,541,222,0.41,292,"375,884","1,211",856,694.7948244,2.23844732,1.582255083
Samcraft42,10,230,220,0.96,9,"188,303","1,018",193,818.7086957,4.426086957,0.8391304348
TYzxinmar,11,242,215,0.89,26,"247,342","1,195",199,1022.07438,4.938016529,0.8223140496
TakeoutCrib7553,12,325,191,0.59,127,"286,875","1,143",390,882.6923077,3.516923077,1.2
Sombrero45,13,326,174,0.53,145,"261,113","1,262",558,800.9601227,3.871165644,1.711656442
Rerreee8742,14,315,172,0.55,61,"187,016",980,202,593.7015873,3.111111111,0.6412698413
UpcastWind1018,15,286,169,0.59,114,"257,392","1,063",460,899.972028,3.716783217,1.608391608
xLouise59,16,399,167,0.42,223,"328,953",952,746,824.443609,2.385964912,1.869674185
unscrewer,17,194,165,0.85,22,"150,093","1,047",186,773.6752577,5.396907216,0.9587628866
RedFoxNinja90,18,186,163,0.88,22,"150,755",979,63,810.5107527,5.26344086,0.3387096774
REA1204,19,189,148,0.78,31,"213,532","1,230",166,1129.798942,6.507936508,0.8783068783
Extra Blocks,20,256,123,0.48,108,"198,731",705,370,776.2929688,2.75390625,1.4453125
ChuckFin1881,21,326,120,0.37,196,"251,211",820,502,770.5858896,2.515337423,1.539877301
FAMEMCPlayz9135,22,143,120,0.84,23,"151,850",602,122,1061.888112,4.20979021,0.8531468531
scpei,23,199,119,0.60,77,"195,009",633,253,979.9447236,3.180904523,1.271356784
Darkzin2983,24,198,116,0.59,80,"160,751",645,135,811.8737374,3.257575758,0.6818181818
SPDMINECRAFT,25,130,115,0.88,15,"116,660",693,170,897.3846154,5.330769231,1.307692308
Ivytwo,26,153,113,0.74,37,"137,989",662,192,901.8888889,4.326797386,1.254901961
MAS0N R0SSl,27,311,111,0.36,194,"221,123",551,338,711.0064309,1.77170418,1.08681672
maxblanket05,28,195,110,0.56,85,"111,664",405,180,572.6358974,2.076923077,0.9230769231
DeepCharmz,29,187,104,0.56,82,"166,657",702,262,891.2139037,3.754010695,1.401069519
AversiveDoor119,30,187,102,0.55,83,"126,092",294,130,674.2887701,1.572192513,0.6951871658
Artem6365,31,192,102,0.53,90,"150,868",750,233,785.7708333,3.90625,1.213541667
vviniuu,32,118,102,0.86,16,"117,502",550,112,995.779661,4.661016949,0.9491525424
Ellianqa,33,168,101,0.60,62,"119,377",363,211,710.577381,2.160714286,1.255952381
MV173,34,195,100,0.51,94,"170,183",656,368,872.7333333,3.364102564,1.887179487
KingLu2008,35,162,98,0.60,55,"152,857",587,268,943.5617284,3.62345679,1.654320988
ZYFE JUSTIN,36,154,97,0.63,56,"145,955",438,242,947.7597403,2.844155844,1.571428571
Jielun123 MC,37,145,96,0.66,48,"89,846",409,224,619.6275862,2.820689655,1.544827586
Aztec01Ninja,38,119,95,0.80,13,"107,472",475,70,903.1260504,3.991596639,0.5882352941
kierboy3665,39,490,95,0.19,375,"291,398",584,"1,141",594.6897959,1.191836735,2.328571429
Ghost Miyuuu,40,146,93,0.64,49,"167,015",441,211,1143.938356,3.020547945,1.445205479
Katch 22,41,148,92,0.62,54,"118,972",517,174,803.8648649,3.493243243,1.175675676
GalaxyCat1939,42,234,88,0.38,131,"149,768",537,215,640.034188,2.294871795,0.9188034188
ErasableHydra4,43,194,88,0.45,95,"142,515",387,322,734.6134021,1.994845361,1.659793814
OHIOKING1635,44,434,87,0.20,339,"258,130",765,674,594.7695853,1.762672811,1.552995392
So Canny,45,313,84,0.27,219,"231,901",551,415,740.8977636,1.760383387,1.325878594
lolbit mk,46,113,82,0.73,30,"100,200",500,203,886.7256637,4.424778761,1.796460177
WspDanielYT,47,135,82,0.61,49,"87,940",433,221,651.4074074,3.207407407,1.637037037
midomi047,48,164,80,0.49,80,"137,255",561,391,836.9207317,3.420731707,2.384146341
Ckfelipe8558,49,139,79,0.57,60,"128,495",416,228,924.4244604,2.992805755,1.64028777
Gabonator52,50,175,78,0.45,78,"134,926",434,301,771.0057143,2.48,1.72
BrushedTexas63,51,193,76,0.39,117,"98,475",439,1,510.2331606,2.274611399,0.00518134715
NewLucAgiusYT,52,109,75,0.69,33,"93,907",521,131,861.5321101,4.779816514,1.201834862
Stuffss,53,97,75,0.77,21,"82,467",378,112,850.1752577,3.896907216,1.154639175
xTvoY ZakaTx,54,126,75,0.60,47,"99,293",303,188,788.0396825,2.404761905,1.492063492
OverKhale,55,128,74,0.58,50,"109,321",478,170,854.0703125,3.734375,1.328125
vToxicoooQ,56,92,74,0.80,18,"106,047",463,94,1152.684783,5.032608696,1.02173913
soccerdude20095,57,126,73,0.58,44,"109,452",343,85,868.6666667,2.722222222,0.6746031746
Gr3yHair,58,113,73,0.65,37,"125,360",417,155,1109.380531,3.690265487,1.371681416
OutragedRelic22,59,100,73,0.73,26,"67,429",280,121,674.29,2.8,1.21
BopoleGaming23,60,125,72,0.58,51,"110,074",351,120,880.592,2.808,0.96
ItzzzVinnie,61,124,70,0.56,48,"86,783",397,146,699.8629032,3.201612903,1.177419355
Pannu3981,62,180,69,0.38,104,"104,522",164,268,580.6777778,0.9111111111,1.488888889
FinerLemming117,63,246,68,0.28,175,"134,947",480,451,548.5650407,1.951219512,1.833333333
HUNJ0C,64,84,68,0.81,16,"88,642",444,79,1055.261905,5.285714286,0.9404761905
CapitateOwl1125,65,179,67,0.37,106,"136,850",350,255,764.5251397,1.955307263,1.424581006
ImportedLake177,66,82,66,0.80,14,"82,375",378,35,1004.573171,4.609756098,0.4268292683
AsleepSun7019,67,90,66,0.73,20,"74,450",416,125,827.2222222,4.622222222,1.388888889
CroakyPenguin93,68,164,66,0.40,86,"116,931",303,166,712.9939024,1.847560976,1.012195122
qgoqt,69,231,65,0.28,160,"133,283",513,374,576.982684,2.220779221,1.619047619
masurcos,70,123,65,0.53,56,"99,794",351,203,811.3333333,2.853658537,1.650406504
II TONY JR II,71,72,65,0.90,5,"77,744",378,47,1079.777778,5.25,0.6527777778
J02011Messi,72,325,64,0.20,237,"189,436",479,106,582.88,1.473846154,0.3261538462
TuTuMi 78990,73,110,63,0.57,47,"96,368",322,192,876.0727273,2.927272727,1.745454545
Monztali4ever,74,181,63,0.35,118,"116,441",340,243,643.320442,1.878453039,1.342541436
kuzkomeister,75,85,63,0.74,16,"64,581",434,89,759.7764706,5.105882353,1.047058824
zTwTys,76,120,62,0.52,49,"96,421",404,106,803.5083333,3.366666667,0.8833333333
hearts820725,77,77,62,0.81,14,"72,921",382,75,947.025974,4.961038961,0.974025974
Theluma75,78,174,61,0.35,106,"122,409",453,258,703.5,2.603448276,1.482758621
HaykalBarca1746,79,188,61,0.32,115,"145,702",246,9,775.0106383,1.308510638,0.04787234043
MistDragon01,80,153,61,0.40,91,"129,074",264,209,843.620915,1.725490196,1.366013072
Hunter guy3739,81,145,61,0.42,84,"125,255",278,228,863.8275862,1.917241379,1.572413793
HoraryZulu92971,82,143,60,0.42,77,"116,989",360,96,818.1048951,2.517482517,0.6713286713
AcutePlanet7350,83,127,60,0.47,65,"107,865",607,308,849.3307087,4.779527559,2.42519685
kurumai0008,84,134,59,0.44,71,"79,941",392,135,596.5746269,2.925373134,1.007462687
Slimey8056,85,101,59,0.58,42,"69,441",257,118,687.5346535,2.544554455,1.168316832
Cleudinho123,86,384,59,0.15,311,"231,742",538,160,603.4947917,1.401041667,0.4166666667
ipado1110,87,82,58,0.71,24,"74,845",296,47,912.7439024,3.609756098,0.5731707317
LeoFace1010,88,73,58,0.79,13,"74,955",353,85,1026.780822,4.835616438,1.164383562
RaygrullzYT,89,114,58,0.51,55,"119,309",383,116,1046.570175,3.359649123,1.01754386
SpaceBoy1David,90,101,57,0.56,42,"104,961",350,153,1039.217822,3.465346535,1.514851485
WaxiestLake4507,91,147,57,0.39,88,"92,152",424,263,626.8843537,2.884353741,1.789115646
its preet me,92,372,57,0.15,312,"242,994",789,615,653.2096774,2.120967742,1.653225806
Emalectro,93,109,57,0.52,51,"81,311",503,185,745.9724771,4.614678899,1.697247706
mliKa5524,94,162,56,0.35,102,"132,379",420,413,817.154321,2.592592593,2.549382716
fuzzypjs2015571,95,176,56,0.32,120,"142,198",494,230,807.9431818,2.806818182,1.306818182
Skunkers4892,96,151,56,0.37,95,"109,731",390,298,726.6953642,2.582781457,1.973509934
CyberPollo8258,97,129,56,0.43,64,"97,443",324,62,755.372093,2.511627907,0.480620155
SoftPuppet11875,98,73,55,0.75,16,"56,798",302,55,778.0547945,4.136986301,0.7534246575
Endermite303236,99,151,55,0.36,95,"102,058",274,376,675.8807947,1.814569536,2.490066225
exploitax,100,84,55,0.65,23,"74,097",241,174,882.1071429,2.869047619,2.071428571
Tahriq16YT,1,"1,707","1,616",0.95,82,"1,155,895","7,471","2,678",677.1499707,4.376684241,1.568834212
hearts820725,2,631,541,0.86,89,"589,726","2,991",470,934.5895404,4.740095087,0.7448494453
Lee1387,3,399,387,0.97,11,"300,868","1,808",132,754.0551378,4.531328321,0.3308270677
Yuzuriha851310,4,294,255,0.87,38,"250,053","1,554",455,850.5204082,5.285714286,1.547619048
soccerdude20095,5,373,232,0.62,122,"310,771","1,035",253,833.1662198,2.774798928,0.6782841823
OutragedRelic22,6,345,228,0.66,110,"233,409",911,424,676.5478261,2.64057971,1.228985507
MARIYA101111,7,344,200,0.58,135,"267,823","1,137",556,778.5552326,3.305232558,1.61627907
OverKhale,8,277,193,0.70,83,"236,509","1,050",389,853.8231047,3.790613718,1.40433213
Darkzin2983,9,323,187,0.58,134,"250,393",963,196,775.2105263,2.981424149,0.6068111455
IckyPat,10,370,182,0.49,173,"271,293","1,183",373,733.2243243,3.197297297,1.008108108
RedFoxNinja90,11,206,179,0.87,25,"163,494",987,76,793.6601942,4.791262136,0.3689320388
NachoooMC,12,246,178,0.72,68,"231,148",928,227,939.6260163,3.772357724,0.9227642276
BrushedTexas63,13,423,175,0.41,245,"222,957","1,037",8,527.0851064,2.451536643,0.01891252955
TakeoutCrib7553,14,259,175,0.68,83,"284,307","1,141",328,1097.710425,4.405405405,1.266409266
Devuq,15,191,173,0.91,17,"138,964",754,135,727.5602094,3.947643979,0.7068062827
Rerreee8742,16,300,169,0.56,49,"173,688",778,113,578.96,2.593333333,0.3766666667
il 8l8 li,17,206,169,0.82,36,"171,268","1,103",307,831.3980583,5.354368932,1.490291262
REA1204,18,202,153,0.76,38,"226,649","1,291",175,1122.024752,6.391089109,0.8663366337
S04ky,19,156,150,0.96,6,"111,379",720,145,713.9679487,4.615384615,0.9294871795
io mission,20,230,139,0.60,76,"151,212","1,020",636,657.4434783,4.434782609,2.765217391
Florian3771,21,265,138,0.52,126,"241,780",952,602,912.3773585,3.59245283,2.271698113
Katch 22,22,242,138,0.57,98,"193,024",782,283,797.6198347,3.231404959,1.169421488
RentoSugak2010,23,265,125,0.47,137,"247,776",818,65,935.0037736,3.086792453,0.2452830189
Shelbymedia,24,353,121,0.34,223,"235,122","1,320","1,245",666.0679887,3.739376771,3.526912181
KingLu2008,25,198,118,0.60,71,"198,851",733,310,1004.29798,3.702020202,1.565656566
Sombrero45,26,210,118,0.56,84,"164,359",734,307,782.6619048,3.495238095,1.461904762
Cleudinho123,27,778,117,0.15,645,"493,859","1,110",254,634.7802057,1.426735219,0.3264781491
Samcraft42,28,114,113,0.99,1,"82,714",378,53,725.5614035,3.315789474,0.4649122807
InvalidClover39,29,280,112,0.40,144,"222,726","1,063",684,795.45,3.796428571,2.442857143
AsleepSun7019,30,124,103,0.83,20,"93,716",484,142,755.7741935,3.903225806,1.14516129
L1ghtn1ng Drop,31,364,103,0.28,260,"281,660",370,796,773.7912088,1.016483516,2.186813187
ilahzi,32,158,99,0.63,56,"129,046",479,205,816.7468354,3.03164557,1.297468354
Ryder93149743,33,167,98,0.59,68,"131,258",554,297,785.9760479,3.317365269,1.778443114
Aztec01Ninja,34,130,95,0.73,21,"114,817",474,122,883.2076923,3.646153846,0.9384615385
AquaTadpole9928,35,134,94,0.70,40,"112,203",340,125,837.3358209,2.537313433,0.9328358209
Firemister15,36,243,93,0.38,102,"170,864",599,421,703.1440329,2.465020576,1.732510288
the hammer 9448,37,349,92,0.26,241,"121,976",583,474,349.5014327,1.670487106,1.358166189
favvtye,38,117,86,0.74,29,"103,756",539,146,886.8034188,4.606837607,1.247863248
GameyHaddock439,39,204,86,0.42,117,"145,573",876,488,713.5931373,4.294117647,2.392156863
Rctt6633,40,198,86,0.43,110,"162,881",667,334,822.6313131,3.368686869,1.686868687
DeepCharmz,41,156,86,0.55,69,"140,523",518,220,900.7884615,3.320512821,1.41025641
CoolCarrotYT,42,171,84,0.49,76,"129,154",565,349,755.2865497,3.304093567,2.040935673
crudercooke,43,179,84,0.47,85,"151,245",567,318,844.9441341,3.167597765,1.776536313
Mikyy1140,44,142,83,0.58,52,"127,619",345,221,898.7253521,2.429577465,1.556338028
BopoleGaming23,45,179,83,0.46,84,"146,806",506,186,820.1452514,2.826815642,1.039106145
xLouise59,46,199,80,0.40,111,"168,826",564,519,848.3718593,2.834170854,2.608040201
Stingerbee79,47,139,80,0.58,56,"109,946",445,218,790.9784173,3.201438849,1.568345324
furandoll704,48,106,78,0.74,28,"80,995",472,151,764.1037736,4.452830189,1.424528302
CinnaMC1247,49,188,78,0.41,106,"151,412",830,479,805.3829787,4.414893617,2.54787234
moools0323,50,93,78,0.84,13,"71,722",479,76,771.2043011,5.150537634,0.8172043011
Thrylos22719,51,142,78,0.55,64,"140,841",333,32,991.8380282,2.345070423,0.2253521127
Koyaz9938,52,128,77,0.60,49,"100,404",402,143,784.40625,3.140625,1.1171875
RegentCloud6890,53,185,77,0.42,107,"163,387",477,169,883.172973,2.578378378,0.9135135135
Ivytwo,54,86,77,0.90,9,"93,464",413,122,1086.790698,4.802325581,1.418604651
PinDrake3232,55,147,77,0.52,67,"112,029",653,369,762.1020408,4.442176871,2.510204082
Candycat1630,56,204,76,0.37,121,"156,654",505,312,767.9117647,2.475490196,1.529411765
iampen2,57,164,76,0.46,86,"136,257",507,391,830.8353659,3.091463415,2.384146341
innesag,58,224,75,0.33,141,"178,333",350,288,796.1294643,1.5625,1.285714286
MaxElpana6410,59,128,75,0.59,53,"99,245",303,136,775.3515625,2.3671875,1.0625
EeryTie39039390,60,130,74,0.57,55,"124,877",490,216,960.5923077,3.769230769,1.661538462
AversiveDoor119,61,191,74,0.39,117,"126,122",218,168,660.3246073,1.141361257,0.8795811518
SmartCreepe5,62,189,72,0.38,114,"153,267",575,331,810.9365079,3.042328042,1.751322751
Emerald57113531,63,130,72,0.55,51,"90,668",596,402,697.4461538,4.584615385,3.092307692
The Han 2004813,64,224,71,0.32,152,"133,098",444,397,594.1875,1.982142857,1.772321429
semi30044999,65,180,71,0.39,98,"132,271",659,375,734.8388889,3.661111111,2.083333333
Sosiska376951,66,206,70,0.34,134,"157,146",437,277,762.8446602,2.121359223,1.344660194
TYzxinmar,67,77,69,0.90,8,"79,263",404,69,1029.38961,5.246753247,0.8961038961
LuvyChan8778,68,235,69,0.29,166,"180,744",418,363,769.1234043,1.778723404,1.544680851
justMuzan15,69,260,68,0.26,190,"153,193",467,357,589.2038462,1.796153846,1.373076923
Kot9285,70,74,68,0.92,6,"53,595",348,96,724.2567568,4.702702703,1.297297297
maxblanket05,71,139,68,0.49,70,"99,075",302,95,712.7697842,2.172661871,0.6834532374
SHIGEN58522,72,148,68,0.46,78,"125,042",547,355,844.8783784,3.695945946,2.398648649
I Purpled I,73,106,68,0.64,37,"102,552",504,275,967.4716981,4.754716981,2.594339623
Elizaveta18821,74,108,67,0.62,41,"76,125",380,96,704.8611111,3.518518519,0.8888888889
SonicBoosterJet,75,165,66,0.40,93,"87,378",334,326,529.5636364,2.024242424,1.975757576
FutileCobra,76,446,66,0.15,371,"235,896",808,"1,182",528.9147982,1.811659193,2.650224215
FAM AND TAX,77,168,64,0.38,95,"142,094",558,461,845.797619,3.321428571,2.744047619
FourSiren120741,78,157,64,0.41,93,"148,115",441,98,943.4076433,2.808917197,0.6242038217
tsukikun26,79,129,64,0.50,63,"81,383",342,182,630.875969,2.651162791,1.410852713
HoczQ,80,109,63,0.58,45,"100,368",297,101,920.8073394,2.724770642,0.9266055046
qRedblu,81,96,62,0.65,33,"87,441",308,183,910.84375,3.208333333,1.90625
ColdMcFlurry711,82,184,62,0.34,112,"104,695",624,453,568.9945652,3.391304348,2.461956522
TeakBoot,83,192,62,0.32,129,"135,545",324,433,705.9635417,1.6875,2.255208333
MesonicNewt115,84,119,61,0.51,56,"82,298",406,172,691.5798319,3.411764706,1.445378151
zR1qochet,85,110,61,0.55,43,"103,388",454,299,939.8909091,4.127272727,2.718181818
mvrtss,86,62,61,0.98,1,"70,335",392,63,1134.435484,6.322580645,1.016129032
Mamabear2606,87,122,61,0.50,61,"93,826",334,162,769.0655738,2.737704918,1.327868852
Mig6l,88,74,61,0.82,13,"64,557",144,111,872.3918919,1.945945946,1.5
II TONY JR II,89,75,61,0.81,13,"74,196",352,43,989.28,4.693333333,0.5733333333
CrimsonJvne,90,72,61,0.85,9,"54,045",313,37,750.625,4.347222222,0.5138888889
Sm1l3 F1N,91,83,60,0.72,23,"80,436",344,96,969.1084337,4.144578313,1.156626506
HomelikeMite257,92,120,59,0.49,59,"111,608",377,179,930.0666667,3.141666667,1.491666667
ILIKEOBSIDIAN,93,108,59,0.55,48,"92,802",321,230,859.2777778,2.972222222,2.12962963
Evander7401,94,153,59,0.39,92,"95,875",434,146,626.6339869,2.836601307,0.954248366
Mr Blue Sky4868,95,"1,029",58,0.06,930,"425,979",952,4,413.9737609,0.925170068,0.003887269193
AAM0122,96,90,58,0.64,30,"79,020",332,76,878,3.688888889,0.8444444444
NoKings00000,97,96,58,0.60,36,"70,763",338,70,737.1145833,3.520833333,0.7291666667
JosiahMC8866,98,218,58,0.27,158,"138,630",405,629,635.9174312,1.857798165,2.885321101
DuncanQuinn,99,225,58,0.26,163,"150,376",406,728,668.3377778,1.804444444,3.235555556
Mohitbrom,100,297,58,0.20,221,"156,647",324,375,527.4309764,1.090909091,1.262626263
Tahriq16YT,1,"1,679","1,616",0.96,60,"1,152,737","7,346","2,663",686.5616438,4.375223347,1.586063133
AerobicHarp4277,2,781,655,0.84,104,"526,950","2,778",183,674.7119078,3.556978233,0.2343149808
Samcraft42,3,672,652,0.97,19,"517,990","2,802",686,770.8184524,4.169642857,1.020833333
hearts820725,4,618,513,0.83,103,"580,907","2,900",421,939.9789644,4.692556634,0.6812297735
S04ky,5,465,450,0.97,15,"347,933","2,127",392,748.2430108,4.574193548,0.8430107527
Lee1387,6,413,401,0.97,12,"317,884","1,811",137,769.6949153,4.384987893,0.3317191283
Yuzuriha851310,7,478,354,0.74,117,"387,779","2,306",794,811.2531381,4.824267782,1.661087866
lolNolan,8,310,294,0.95,14,"222,582","1,549",263,718.0064516,4.996774194,0.8483870968
soccerdude20095,9,343,202,0.59,127,"224,809",776,195,655.4198251,2.262390671,0.5685131195
REA1204,10,230,186,0.81,31,"245,138","1,355",155,1065.817391,5.891304348,0.6739130435
Axolot13431,11,461,172,0.37,279,"405,556","1,048",8,879.7310195,2.273318872,0.01735357918
justMuzan15,12,623,165,0.26,450,"372,342","1,134","1,032",597.6597111,1.820224719,1.656500803
wriestcrayon429,13,238,153,0.64,85,"196,989",785,563,827.6848739,3.298319328,2.365546218
FourSiren120741,14,358,145,0.41,211,"343,062",992,203,958.273743,2.770949721,0.5670391061
MARIYA101111,15,244,140,0.57,103,"175,125",618,390,717.7254098,2.532786885,1.598360656
NachoooMC,16,206,132,0.64,74,"202,430",740,233,982.6699029,3.59223301,1.131067961
Linki1983,17,254,130,0.51,122,"209,531",616,109,824.9251969,2.42519685,0.4291338583
OutragedRelic22,18,228,130,0.57,94,"173,595",638,267,761.3815789,2.798245614,1.171052632
SpiffyChikn,19,251,127,0.51,116,"175,143",686,574,697.7808765,2.733067729,2.28685259
TakeoutCrib7553,20,262,122,0.47,135,"319,089","1,111",491,1217.896947,4.240458015,1.874045802
LovelyHarpa,21,148,108,0.73,32,"144,789",738,255,978.3040541,4.986486486,1.722972973
SirTobiiias,22,177,107,0.60,66,"140,760",710,254,795.2542373,4.011299435,1.435028249
AsleepSun7019,23,187,101,0.54,83,"156,046",545,147,834.4705882,2.914438503,0.7860962567
RichVoyage19517,24,130,100,0.77,27,"164,311",642,119,1263.930769,4.938461538,0.9153846154
AquaTadpole9928,25,145,100,0.69,44,"127,557",361,190,879.7034483,2.489655172,1.310344828
DillyBiggz,26,188,99,0.53,82,"171,866",588,635,914.1808511,3.127659574,3.377659574
GAC16,27,142,99,0.70,43,"126,480",589,136,890.7042254,4.147887324,0.9577464789
Yeban99oo4862,28,197,97,0.49,96,"168,850",649,278,857.106599,3.294416244,1.411167513
MaxElpana6410,29,182,97,0.53,76,"139,868",501,119,768.5054945,2.752747253,0.6538461538
Alynerr,30,168,97,0.58,59,"139,413",628,305,829.8392857,3.738095238,1.81547619
Profroghunter,31,119,96,0.81,23,"115,060",481,94,966.8907563,4.042016807,0.7899159664
Rerreee8742,32,195,94,0.48,32,"98,310",427,101,504.1538462,2.18974359,0.5179487179
TYzxinmar,33,109,93,0.85,16,"106,361",529,84,975.7889908,4.853211009,0.7706422018
CipherShell,34,107,91,0.85,14,"84,432",479,121,789.0841121,4.476635514,1.130841121
Ivytwo,35,119,90,0.76,15,"95,832",430,104,805.3109244,3.613445378,0.8739495798
ImportedLake177,36,99,89,0.90,10,"102,994",478,57,1040.343434,4.828282828,0.5757575758
Tomad2005,37,137,88,0.64,44,"122,491",501,53,894.0948905,3.656934307,0.3868613139
Mikyy1140,38,130,86,0.66,37,"116,013",328,178,892.4076923,2.523076923,1.369230769
MeekToe1422,39,184,84,0.46,99,"155,274",679,330,843.8804348,3.690217391,1.793478261
